2026-09-20 14:48:34.248 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:34.487 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:34.738 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204D3AEE010>
2026-09-20 14:48:34.739 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:34.740 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:34.742 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:34.743 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:34.744 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:34.747 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:34.748 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:34.749 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:34.749 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:34.751 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:34.755 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:35.019 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:35.273 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204D3E80D90>
2026-09-20 14:48:35.274 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:35.276 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:35.276 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:35.277 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:35.279 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:35.281 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:35.282 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:35.284 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:35.284 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:35.286 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:35.288 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:35.540 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:35.796 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204D405CED0>
2026-09-20 14:48:35.797 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:35.801 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:35.803 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:35.804 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:35.805 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:35.811 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:35.812 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:35.813 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:35.815 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:35.817 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:35.824 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:36.094 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:36.363 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204D47CC410>
2026-09-20 14:48:36.363 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:36.364 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:36.365 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:36.365 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:36.367 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:36.370 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'15'), (b'Keep-Alive', b'timeout=5, max=100')])
2026-09-20 14:48:36.371 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 200 OK"
2026-09-20 14:48:36.371 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:36.372 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:36.373 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:36.376 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:36.378 | SUCCESS  | run_local_server:launch_server:85 | Local Server is active!
2026-09-20 14:48:36.379 | DEBUG    | logging:callHandlers:1706 | close.started
2026-09-20 14:48:36.380 | DEBUG    | logging:callHandlers:1706 | close.complete
2026-09-20 14:48:36.382 | SUCCESS  | __main__:_init_llm:878 | [SERVER] Local LLM server running successfully.
2026-09-20 14:48:36.556 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.639 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.667 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.673 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.680 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.688 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.698 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.710 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.724 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.741 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.760 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.782 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.808 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.836 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.869 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:36.991 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
